@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
 "BPM.16R7.B1"              19299.29311        30.93444255
 "BPM.17R7.B1"              19352.74459        171.0049846
 "BPM.18R7.B1"              19406.19607         30.9344421
 "BPM.19R7.B1"              19459.64756        171.0049835
 "BPM.20R7.B1"              19513.09904         30.9344426
 "BPM.21R7.B1"              19566.55053        171.0049841
 "BPM.22R7.B1"              19620.00201        30.93444207
 "BPM.23R7.B1"               19673.4535        171.0049841
 "BPM.24R7.B1"              19726.90498        30.93444261
 "BPM.25R7.B1"              19780.35646        171.0049836
 "BPM.26R7.B1"              19833.80795        30.93444207
 "BPM.27R7.B1"              19887.25943        171.0049845
 "BPM.28R7.B1"              19940.71092         30.9344426
 "BPM.29R7.B1"               19994.1624        171.0049831
 "BPM.30R7.B1"              20047.61388         30.9344421
 "BPM.31R7.B1"              20101.06537         171.004985
 "BPM.32R7.B1"              20154.51685        30.93444256
 "BPM.33R7.B1"              20207.96834        171.0049828
 "BPM.34R7.B1"              20261.41982        30.93444216
 "BPM.33L8.B1"               20314.8713        171.0049853
 "BPM.32L8.B1"              20368.32279        30.93444249
 "BPM.31L8.B1"              20421.77427        171.0049825
 "BPM.30L8.B1"              20475.22576        30.93444224
 "BPM.29L8.B1"              20528.67724        171.0049855
 "BPM.28L8.B1"              20582.12873         30.9344424
 "BPM.27L8.B1"              20635.58021        171.0049824
 "BPM.26L8.B1"              20689.03169        30.93444233
 "BPM.25L8.B1"              20742.48318        171.0049854
 "BPM.24L8.B1"              20795.93466        30.93444231
 "BPM.23L8.B1"              20849.38615        171.0049825
 "BPM.22L8.B1"              20902.83763        30.93444242
 "BPM.21L8.B1"              20956.28911        171.0049853
 "BPM.20L8.B1"               21009.7406        30.93444222
 "BPM.19L8.B1"              21063.19208        171.0049828
 "BPM.18L8.B1"              21116.64357         30.9344425
 "BPM.17L8.B1"              21170.09505        171.0049849
 "BPM.16L8.B1"              21223.54653        30.93444215
 "BPM.15L8.B1"              21276.99802        171.0049832
 "BPM.14L8.B1"               21330.4495        30.93444257
 "BPM.13L8.B1"              21383.90099        171.0049845
 "BPM.12L8.B1"              21437.35247        30.12132504
 "BPM.11L8.B1"              21490.80395        175.5076863
 "BPM.10L8.B1"              21542.64464        29.14823083
 "BPM.9L8.B1"               21581.71163         116.805489
 "BPM.8L8.B1"               21622.17662        20.07566233
 "BPM.7L8.B1"               21661.24461        101.9788822
 "BPMR.6L8.B1"              21693.71361        18.78968872
 "BPM.5L8.B1"               21754.13261        159.3783702
 "BPMYB.4L8.B1"             21774.89961        56.23689848
 "BPMWB.4L8.B1"             21799.29111        45.92071324
 "BPMSX.4L8.B1"             21849.52411        141.3438783
 "BPMS.2L8.B1"              21887.43561        60.28492485
 "BPMSW.1L8.B1"             21897.36961        56.63440284
 "BPMSW.1R8.B1"             21940.55961        56.63440281
 "BPMS.2R8.B1"              21950.49361         179.673211
 "BPMSX.4R8.B1"             21988.40511        58.38848366
 "BPMWB.4R8.B1"             22038.56211         49.8982435
 "BPMYB.4R8.B1"             22063.02961        71.08751128
 "BPMYB.5R8.B1"             22083.60661        32.25524325
 "BPM.6R8.B1"               22167.71461        309.9724141
 "BPM_A.7R8.B1"             22189.95461        106.1677321
 "BPM.8R8.B1"               22231.39162        151.5287487
 "BPM.9R8.B1"               22270.45663        13.66928992
 "BPM.10R8.B1"              22310.91964         172.476902
 "BPM.11R8.B1"              22362.75835        36.68885019
 "BPM.12R8.B1"              22417.48187        174.1824021
 "BPM.13R8.B1"              22470.93039        30.96291897
 "BPM.14R8.B1"               22524.3789        170.9897789
 "BPM.15R8.B1"              22577.82742        30.93711025
 "BPM.16R8.B1"              22631.27593        170.9897777
 "BPM.17R8.B1"              22684.72445        30.93710973
 "BPM.18R8.B1"              22738.17297        170.9897794
 "BPM.19R8.B1"              22791.62148        30.93711021
 "BPM.20R8.B1"                 22845.07        170.9897773
 "BPM.21R8.B1"              22898.51851        30.93710978
 "BPM.22R8.B1"              22951.96703        170.9897797
 "BPM.23R8.B1"              23005.41555        30.93711014
 "BPM.24R8.B1"              23058.86406         170.989777
 "BPM.25R8.B1"              23112.31258        30.93710986
 "BPM.26R8.B1"              23165.76109        170.9897799
 "BPM.27R8.B1"              23219.20961        30.93711006
 "BPM.28R8.B1"              23272.65813        170.9897769
 "BPM.29R8.B1"              23326.10664        30.93710995
 "BPM.30R8.B1"              23379.55516        170.9897799
 "BPM.31R8.B1"              23433.00367        30.93710996
 "BPM.32R8.B1"              23486.45219         170.989777
 "BPM.33R8.B1"               23539.9007        30.93711004
 "BPM.34R8.B1"              23593.34922        170.9897798
 "BPM.33L1.B1"              23646.79774        30.93710987
 "BPM.32L1.B1"              23700.24625        170.9897772
 "BPM.31L1.B1"              23753.69477        30.93711013
 "BPM.30L1.B1"              23807.14328        170.9897795
 "BPM.29L1.B1"               23860.5918        30.93710979
 "BPM.28L1.B1"              23914.04032        170.9897776
 "BPM.27L1.B1"              23967.48883         30.9371102
 "BPM.26L1.B1"              24020.93735        170.9897791
 "BPM.25L1.B1"              24074.38586        30.93710974
 "BPM.24L1.B1"              24127.83438         170.989778
 "BPM.23L1.B1"               24181.2829        30.93711024
 "BPM.22L1.B1"              24234.73141        170.9897786
 "BPM.21L1.B1"              24288.17993        30.93710971
 "BPM.20L1.B1"              24341.62844        170.9897786
 "BPM.19L1.B1"              24395.07696        30.93711026
 "BPM.18L1.B1"              24448.52547        170.9897781
 "BPM.17L1.B1"              24501.97399        30.93710971
